timestamp,sleep_stage,sleep_stage_code,respiratory_rate_bpm
2026-07-21 03:46:52,Light,40002,18
2026-07-21 03:47:52,Light,40002,20
2026-07-21 03:48:52,Light,40002,18
2026-07-21 03:49:52,Light,40002,17
2026-07-21 03:50:52,Light,40002,15
2026-07-21 03:51:52,Light,40002,15
2026-07-21 03:52:52,Light,40002,13
2026-07-21 03:53:52,Light,40002,14
2026-07-21 03:54:52,Light,40002,16
2026-07-21 03:55:52,Light,40002,19
2026-07-21 03:56:52,Light,40002,18
2026-07-21 03:57:52,Light,40002,19
2026-07-21 03:58:52,Light,40002,14
2026-07-21 03:59:52,Light,40002,14
2026-07-21 04:00:52,Light,40002,16
2026-07-21 04:01:52,Light,40002,15
2026-07-21 04:02:52,Light,40002,18
2026-07-21 04:03:52,Light,40002,17
2026-07-21 04:04:52,Light,40002,0
2026-07-21 04:05:52,Light,40002,19
2026-07-21 04:06:52,Light,40002,22
2026-07-21 04:07:52,Light,40002,16
2026-07-21 04:08:52,Light,40002,17
2026-07-21 04:09:52,Light,40002,15
2026-07-21 04:10:52,REM,40004,18
2026-07-21 04:11:52,REM,40004,21
2026-07-21 04:12:52,REM,40004,20
2026-07-21 04:13:52,REM,40004,22
2026-07-21 04:14:52,REM,40004,20
2026-07-21 04:15:52,REM,40004,21
2026-07-21 04:16:52,REM,40004,24
2026-07-21 04:17:52,REM,40004,18
2026-07-21 04:18:52,REM,40004,19
2026-07-21 04:19:52,REM,40004,24
2026-07-21 04:20:52,REM,40004,23
2026-07-21 04:21:52,REM,40004,21
2026-07-21 04:22:52,REM,40004,19
2026-07-21 04:23:52,REM,40004,21
2026-07-21 04:24:52,REM,40004,23
2026-07-21 04:25:52,REM,40004,21
2026-07-21 04:26:52,REM,40004,21
2026-07-21 04:27:52,REM,40004,22
2026-07-21 04:28:52,REM,40004,20
2026-07-21 04:29:52,REM,40004,19
2026-07-21 04:30:52,REM,40004,19
2026-07-21 04:31:52,Light,40002,17
2026-07-21 04:32:52,Light,40002,16
2026-07-21 04:33:52,Light,40002,16
2026-07-21 04:34:52,Light,40002,14
2026-07-21 04:35:52,Light,40002,13
2026-07-21 04:36:52,Light,40002,13
2026-07-21 04:37:52,Light,40002,16
2026-07-21 04:38:52,Light,40002,17
2026-07-21 04:39:52,Light,40002,16
2026-07-21 04:40:52,Light,40002,14
2026-07-21 04:41:52,Light,40002,20
2026-07-21 04:42:52,Light,40002,19
2026-07-21 04:43:52,Light,40002,18
2026-07-21 04:44:52,Light,40002,17
2026-07-21 04:45:52,Light,40002,16
2026-07-21 04:46:52,Light,40002,16
2026-07-21 04:47:52,Light,40002,15
2026-07-21 04:48:52,Light,40002,18
2026-07-21 04:49:52,Light,40002,23
2026-07-21 04:50:52,Light,40002,20
2026-07-21 04:51:52,Light,40002,20
2026-07-21 04:52:52,Light,40002,17
2026-07-21 04:53:52,Light,40002,15
2026-07-21 04:54:52,Light,40002,14
2026-07-21 04:55:52,Light,40002,14
2026-07-21 04:56:52,Light,40002,17
2026-07-21 04:57:52,Light,40002,-1
2026-07-21 04:58:52,Light,40002,16
2026-07-21 04:59:52,Light,40002,16
2026-07-21 05:00:52,Light,40002,16
2026-07-21 05:01:52,Light,40002,14
